Node1  
Echo Requests Sent,Echo Requests Recieved,Echo Replies Sent,Echo Replies Recieved
128,49,49,128
Echo Request Bytes sent (bytes),Echo Request Data Sent (bytes)
89452,84076
Echo Request Bytes Recieved (bytes),Echo Request Data Recieved (bytes)
51904,49846
 
Average RTT (miliseconds),2.56485156251
Echo Request Throughput (kB/sec),272.469471612
Echo Request Goodput (kB/sec),256.094254966
Average Reply Delay,55.5102040923
Average Echo Request Hop Count,1.23728813559
 
Node2  
Echo Requests Sent,Echo Requests Recieved,Echo Replies Sent,Echo Replies Recieved
82,160,160,82
Echo Request Bytes sent (bytes),Echo Request Data Sent (bytes)
53040,49596
Echo Request Bytes Recieved (bytes),Echo Request Data Recieved (bytes)
113816,107096
 
Average RTT (miliseconds),2.6771707317
Echo Request Throughput (kB/sec),241.609270799
Echo Request Goodput (kB/sec),225.921067017
Average Reply Delay,55.6499999895
Average Echo Request Hop Count,1.74380165289
 
Node3  
Echo Requests Sent,Echo Requests Recieved,Echo Replies Sent,Echo Replies Recieved
72,98,98,72
Echo Request Bytes sent (bytes),Echo Request Data Sent (bytes)
53070,50046
Echo Request Bytes Recieved (bytes),Echo Request Data Recieved (bytes)
62908,58792
 
Average RTT (miliseconds),2.77937499998
Echo Request Throughput (kB/sec),265.197511433
Echo Request Goodput (kB/sec),250.086200437
Average Reply Delay,54.8571428455
Average Echo Request Hop Count,1.78823529412
 
Node4  
Echo Requests Sent,Echo Requests Recieved,Echo Replies Sent,Echo Replies Recieved
108,86,86,108
Echo Request Bytes sent (bytes),Echo Request Data Sent (bytes)
75232,70696
Echo Request Bytes Recieved (bytes),Echo Request Data Recieved (bytes)
42388,38776
 
Average RTT (miliseconds),3.03845370369
Echo Request Throughput (kB/sec),229.258912764
Echo Request Goodput (kB/sec),215.436092312
Average Reply Delay,53.3139534926
Average Echo Request Hop Count,1.49484536082
 
